window,contributor_id,degree,weighted_degree,betweenness,name
1920-1921,520229,16,16,1e-06,Gerald H Robinson
1920-1921,520259,16,16,1e-06,K Barnard
1920-1921,520204,16,16,1e-06,Mr K Hunter
1920-1921,520231,16,16,1e-06,Mr N S Pickering
1920-1921,520255,16,16,1e-06,Phyllis M Davey
1920-1921,483782,16,16,1e-06,Phyllis McEwan
1920-1921,520248,16,16,1e-06,Phyllis Taylor
1920-1921,520258,16,16,1e-06,R D Fitzgerald
1920-1921,442650,16,16,1e-06,Tom Inglis Moore
1920-1921,520256,16,16,1e-06,Una Syms
1920-1921,520233,16,16,1e-06,W V Connor
1920-1921,545510,8,8,0.0,Gela Hardie
1920-1921,489580,8,8,0.0,Harry Avondale
1920-1921,247631,8,8,0.0,Ida Newton
1920-1921,545508,8,8,0.0,Irene Esler
1920-1921,235611,8,8,0.0,Joe Brennan
1920-1921,545509,8,8,0.0,Joice Davies
1920-1921,405858,8,8,0.0,Maurice Jaffey
1920-1921,545544,8,8,0.0,Norma Carlton
1920-1921,483580,8,8,0.0,Robert Roberts
1920-1921,449291,9,10,0.002882,Vera Remee
1920-1921,235467,1,2,0.0,Walter Hunt
1920-1921,226110,14,14,0.0,Alfred Harford
1920-1921,226111,14,14,0.0,Alfreda Bevan
1920-1921,226102,14,14,0.0,Arthur Bertram
1920-1921,225910,14,14,0.0,Bert Bailey
1920-1921,226104,14,14,0.0,Edmund Duggan
1920-1921,226101,14,14,0.0,Fred McDonald
1920-1921,226107,14,14,0.0,George Kensington
1920-1921,226108,14,14,0.0,George Treloar
1920-1921,226103,14,14,0.0,Guy Hastings
1920-1921,226112,14,14,0.0,Laura Roberts
1920-1921,226114,14,14,0.0,Lilias Adeson
1920-1921,226113,14,14,0.0,Queenie Sefton
1920-1921,226106,14,14,0.0,Willie Driscoll
1920-1921,253849,3,3,0.0,Dame Judith Anderson
1920-1921,236376,3,3,0.0,Leon Gordon
1920-1921,401370,3,3,0.0,Olga  Lee
1920-1921,238588,3,3,0.0,Wallis Clark
1920-1921,449295,8,8,0.0,Daphne Bearn
1920-1921,254005,8,8,0.0,George Cross
1920-1921,449290,8,8,0.0,Herbert Linden
1920-1921,232963,8,8,0.0,Ida Gresham
1920-1921,449294,8,8,0.0,Olga Smith
1920-1921,449292,8,8,0.0,Oriel Hotson
1920-1921,231773,8,8,0.0,Ward Lyons
1920-1921,253627,3,3,0.0,Betty MacMillan
1920-1921,253626,3,3,0.0,Gerald Henson
1920-1921,253625,3,3,0.0,Sara Allgood
1920-1921,238604,6,6,0.0,Eileen Sparkes
1920-1921,226704,6,6,0.0,Harvey Adams
1920-1921,237950,6,6,0.0,Mary MacGregor
1920-1921,259486,13,13,0.00121,Flossie Lusk
1920-1921,407442,13,13,0.00121,Fred Maguire
1920-1921,414530,13,13,0.00121,Maud Beatty
1920-1921,411035,11,11,1e-05,Ella Nugent
1920-1921,238777,11,11,1e-05,Floie Allan
1920-1921,411033,11,11,1e-05,Harry Hotton
